TwonHalfDecade,DecorativeArt,Drawing,IndexOfAmericanDesign,Painting,Photograph,Portfolio,Print,Sculpture,TechnicalMaterial,TimeBasedMediaArt,Volume
1500,36,90,0,90,0,0,969,450,2,0,38
1525,59,325,0,98,0,0,906,394,1,0,33
1550,74,73,0,44,0,1,765,408,1,0,33
1575,23,363,0,26,0,1,639,197,2,0,42
1600,48,164,0,32,0,2,1142,298,0,0,41
1625,7,154,0,112,0,2,2523,71,0,0,46
1650,19,156,0,151,0,0,2371,47,4,0,70
1675,2,80,0,66,0,3,541,64,3,0,75
1700,17,100,0,22,0,0,346,54,0,0,83
1725,151,158,0,57,0,6,571,39,0,0,159
1750,50,379,0,96,0,3,2017,38,4,0,263
1775,35,668,0,136,0,9,3730,39,0,0,342
1800,49,495,0,208,0,5,2489,36,3,0,287
1825,5,377,0,256,0,12,1858,112,36,0,146
1850,27,601,0,316,728,10,4525,106,1,0,71
1875,6,833,0,784,1696,12,3020,196,7,0,89
1900,50,1514,0,436,1025,40,4883,255,13,0,175
1925,13,1832,7810,352,2816,68,7402,222,26,0,317
1950,10,2028,10417,424,7552,110,7832,211,79,0,201
1975,17,3790,2,403,4545,372,12351,559,117,11,407
2000,13,788,4,115,2878,140,4500,196,73,33,116
2025,3,33,0,41,261,7,99,23,0,6,10