TwonHalfDecade,DecorativeArt,Drawing,Painting,Portfolio,Print,Sculpture,Volume
1500,14,0,8,0,0,47,0
1525,32,1,6,0,0,20,0
1550,31,0,5,0,0,18,0
1575,8,0,2,0,0,9,0
1600,33,0,2,0,0,24,0
1625,3,1,8,0,0,1,0
1650,4,7,23,0,0,1,0
1675,0,0,8,0,0,1,1
1700,6,0,1,0,0,3,0
1725,129,0,0,0,71,1,7
1750,27,124,2,0,71,1,49
1775,23,216,6,1,361,4,88
1800,18,27,8,0,71,2,81
1825,0,0,4,0,7,0,3
1850,19,0,2,0,0,1,0
1875,1,0,10,0,0,0,6
1900,22,0,2,0,0,9,0
1925,0,0,1,0,0,0,0
1950,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0
2025,0,0,0,0,0,0,0