TwonHalfDecade,DecorativeArt,Drawing,Painting,Portfolio,Print,Sculpture,TechnicalMaterial,Volume
1500,0,4,0,0,817,0,2,1
1525,0,211,0,0,667,0,0,6
1550,0,5,0,0,472,0,0,0
1575,0,5,0,0,311,0,2,4
1600,0,28,0,0,367,0,0,6
1625,0,7,0,1,1134,0,0,6
1650,2,28,0,0,886,0,0,2
1675,0,1,0,0,262,0,0,13
1700,0,12,0,0,45,0,0,4
1725,0,8,0,1,166,0,0,7
1750,0,4,0,0,381,0,4,13
1775,0,14,0,2,735,0,0,24
1800,0,49,2,0,936,0,1,19
1825,0,45,0,3,762,35,35,11
1850,0,33,2,0,796,14,1,11
1875,0,45,1,2,656,0,6,8
1900,0,92,7,5,1962,0,2,11
1925,0,357,2,21,2013,1,5,3
1950,0,100,1,50,2763,1,29,10
1975,0,26,0,76,940,2,18,5
2000,0,1,0,0,3,1,0,0
2025,0,0,0,0,0,0,0,0