TwonHalfDecade,DecorativeArt,Drawing,Painting,Photograph,Portfolio,Print,Sculpture,TechnicalMaterial,Volume
1500,0,24,3,0,0,19,1,0,2
1525,0,3,1,0,0,2,0,0,0
1550,0,10,1,0,0,0,1,0,0
1575,0,5,0,0,0,0,2,0,0
1600,0,15,3,0,0,0,0,0,0
1625,0,5,16,0,0,2,2,0,0
1650,0,5,18,0,0,0,5,1,0
1675,1,8,4,0,0,0,2,1,0
1700,0,5,2,0,0,0,3,0,0
1725,0,10,2,0,0,0,0,0,0
1750,0,21,2,0,1,14,2,0,0
1775,0,98,3,0,0,1,1,0,1
1800,0,13,2,0,0,0,1,0,0
1825,0,36,4,0,0,0,4,0,0
1850,1,11,1,185,0,0,2,0,0
1875,0,10,3,189,0,0,0,0,3
1900,0,7,0,219,0,14,0,0,1
1925,0,9,2,203,2,128,3,0,0
1950,2,0,6,385,0,14,2,0,0
1975,3,156,34,602,22,1184,43,3,7
2000,4,11,8,154,0,560,14,0,1
2025,0,0,0,0,0,0,1,0,0